generation,full_pbcp_cps_mean,full_pbcp_cps_std,full_pbcp_ifs_mean,full_pbcp_ifs_std,no_phase3_cps_mean,no_phase3_cps_std,policy_only_cps_mean,policy_only_cps_std,embedding_only_cps_mean,embedding_only_cps_std
0,0.3143,0.0865,0.2878,0.0045,0.0023,0.0004,0.0,0.0,0.1082,0.0375
1,0.4035,0.0611,0.2857,0.0059,0.0026,0.0003,0.0,0.0,0.0962,0.0416
2,0.3308,0.0563,0.2848,0.0032,0.0024,0.0006,0.0,0.0,0.1088,0.0373
3,0.2883,0.0473,0.2857,0.005,0.0022,0.0004,0.0,0.0,0.1011,0.0491
4,0.7272,0.0048,0.2898,0.0142,0.0132,0.0012,0.0,0.0,0.0132,0.0012
5,0.7327,0.0108,0.2949,0.0133,0.0132,0.0026,0.0,0.0,0.0132,0.0026
6,0.5975,0.0021,0.7047,0.0089,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5972,0.0012,0.7041,0.0169,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.7075,0.0021,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.7087,0.0032,0.0,0.0,0.0,0.0,0.0054,0.0007
